Column1	Column2
belees	83
duujal	83
faatimata	83
jiinge	83
kamara	83
laa?a	83
paamii	83
welde	83
yaafoo	83
yaajde	83
ameriknaa?e	82
article	82
baali	82
calii	82
cer	82
jaaltaa?e	82
jibineede	82
kaawise	82
keytaa	82
kompaawore	82
ministeer	82
ndarii	82
pds	82
pijirlooji	82
pulaaku	82
ranee?e	82
refti	82
siyaas	82
ta?re	82
tinaani	82
tuddunde	82
wa??ii	82
arani	81
barka	81
ciftinen	81
gaaci	81
he?a	81
heewnoo	81
jogii?e	81
kanndidaa	81
laa?ti	81
mee?ii	81
moolo	81
muktaar	81
ñaabina	81
new	81
ngartam	81
tuunus	81
wele	81
wiyoo?e	81
wonaani	81
?ellitde	81
?ettii	81
abii	80
gartugol	80
hollirde	80
kaa?di	80
li??i	80
ngee	80
payndaale	80
teskiima	80
?oogirde	80
adda	79
fu??oode	79
hu?o	79
jeeyngal	79
kampaañ	79
kayre	79
keddii?i	79
keeweendi	79
kiloomeeteer	79
laamii	79
mbiy?en	79
natti	79
noddii	79
nouakchott	79
rigi	79
sosi	79
sosiyatee	79
sunaare	79
tawtoraama	79
teddu?o	79
tummbere	79
wiyeteengo	79
ajiiju	78
?ennu?i	78
?unndu	78
duwaaw	78
etaade	78
jannginde	78
jeereende	78
kaa?tudi	78
laamor?o	78
lugge	78
maande	78
mettere	78
neema	78
neeniwal	78
nulaa?e	78
?akkeende	78
réforme	78
saalif	78
seeku	78
shoes	78
tagoore	78
telefo?	78
tuddule	78
udditi	78
yontii	78
daror?e	77
espaañ	77
fulo	77
gadanol	77
ibrahiima	77
jaabawol	77
jamirooje	77
jiknaa?e	77
kelmeendi	77
koddiwaar	77
maslahaa	77
naatni	77
nano	77
sagata	77
wejo	77
wi’i	77
?eewii	77
yimre	77
yontaa?e	77
addana	76
annoore	76
awo	76
cukaagu	76
gawlo	76
gese	76
hattan	76
jaalal	76
joo?aade	76
kesi	76
ko?i	76
komin	76
lee?e	76
maaro	76
ñalawmaaji	76
ñamaande	76
ngara	76
ngatamaare	76
nji?ii	76
paam	76
raddo	76
werlaa	76
wuur?e	76
york	76
abboo	75
addata	75
?iyiiko	75
?ow?i	75
ciftora	75
gammbi	75
heblude	75
ittude	75
ke?aani	75
keneeli	75
mawngu	75
pot?e	75
siftinde	75
siley	75
sous	75
union	75
way?e	75
wondu?e	75
?eewde	75
barke	74
gacce	74
gollor?e	74
habri	74
hiisa	74
hurum	74
jeenay	74
jibriil	74
joofi	74
kullon	74
ngarti	74
nos	74
sahnga	74
sankaare	74
sehil	74
takko	74
teskaama	74
tesko	74
wari	74
yaayaa	74
yanii	74
avomm	73
baasgol	73
barakna	73
?eydiima	73
?uraana	73
ciftoren	73
daranii?e	73
eeleega	73
etaa	73
haaldude	73
jowitii?e	73
loowdi	73
majjere	73
modiboo	73
ñaw?o	73
ngon	73
njimri	73
petelaaji	73
suwaa	73
yontaaji	73
aljanna	72
almamee?e	72
awlu?e	72
banke	72
but	72
diisnondiral	72
?um?oon	72
gaño	72
hafeere	72
hardanee?e	72
helmere	72
jolof	72
kuccam	72
maccu?o	72
muñal	72
nguyka	72
paw?i	72
pi?taali	72
tiindii	72
yahdii?e	72
yiyeede	72
yurmo	72
abu	71
daliilu	71
dem	71
eey	71
était	71
fellitii	71
galo	71
gise	71
imaam	71
kewkewe	71
kisa	71
moins	71
mozilla	71
naatnude	71
toowngal	71
ummorii?e	71
wadd	71
yahrude	71
administration	70
ardinoo	70
?eydaade	70
duu?e	70
e?um	70
je?	70
joolaa	70
kanndidaaji	70
kolliti	70
mauritanien	70
mbelemma	70
ngamri	70
su?ii	70
tabitinde	70
toppitaade	70
tuugnaade	70
woppi	70
?eew	70
apr	69
bismii	69
?oggi	69
daddaa	69
dañal	69
dekere	69
fooli	69
fot?e	69
goobu	69
haawnii	69
he?aani	69
ho??e	69
hollude	69
jaabaade	69
jaa?ihaa?tirde	69
jaambaraagal	69
jonnde	69
kaake	69
masi?	69
muritaninaajo	69
peewnugol	69
potnoo	69
seerti	69
teeru	69
teleeji	69
watara	69
woodii	69
yahri	69
yahuud	69
yaltii	69
yitere	69
baabaa?e	68
bahbah?e	68
?uraani	68
?urii	68
dimo	68
do?re	68
haajuuji	68
haani	68
ha?ki	68
jaadanaa	68
kin?e	68
konte	68
louis	68
mbe?e	68
musid?o	68
nafata	68
nanngaa	68
ñawbuuli	68
nawde	68
nelson	68
ngenndiwal	68
nguu?oo	68
noddude	68
tummbuktu	68
ummorii	68
wa?oo?e	68
was	68
welaa	68
winnditaade	68
wontude	68
yaltinii	68
yettinde	68
bakri	67
bon?o	67
can	67
cuun	67
diineeji	67
ganaa	67
ginenaa?e	67
jammaaji	67
kuftodin?i	67
ne??aagal	67
ngu?u	67
renndooji	67
toppitii?o	67
très	67
yahdude	67
yarkomaa	67
yeruuji	67
aamiin	66
?urde	66
capaato	66
ciftina	66
coodgu	66
darii?o	66
?e?i	66
?immu	66
faandu	66
flam	66
foonde	66
fuuta?koo?e	66
gasi	66
gootum	66
hellini	66
ja??ungal	66
janngu?e	66
jookli	66
kaala	66
kammu	66
kewi	66
laaci	66
maantinde	66
ministre	66
ngañgu	66
njangu	66
noddaa	66
sans	66
sete	66
siyaara	66
talla	66
winndii	66
woodde	66
yo?de	66
anndaaka	65
colte	65
dakaar	65
daña	65
?i?mo	65
fuunti	65
go?ngol	65
keewaani	65
mustafa	65
ndewi	65
ngadii	65
niveau	65
nja?aani	65
paayodin?e	65
pelliti	65
puccu	65
seydi	65
tuubaako	65
uraanus	65
wa?ande	65
waraa	65
yande	65
yiytude	65
aliw	64
ans	64
?on	64
haaleede	64
homme	64
hooti	64
hulaani	64
jamiil	64
kaa?i	64
keerii?e	64
konngi	64
lamin	64
maaje	64
mahde	64
mbiyii	64
ndokki	64
njaru	64
pucci	64
seeraani	64
tee?tu?e	64
waas?e	64
wooturu	64
yiylaade	64
addii	63
?eya	63
bonnude	63
dalillaaji	63
darii?e	63
depuis	63
